[1114/115322.603:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0106/141745.661:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141750.671:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141755.682:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141800.686:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141805.697:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141810.706:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141815.715:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141820.725:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141825.735:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141830.746:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141835.749:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141840.752:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141845.763:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141850.772:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141855.888:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141900.898:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141905.908:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141910.913:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141915.923:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141920.933:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141925.944:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141930.948:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141935.958:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141940.961:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141945.964:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141950.969:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141955.979:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/142000.985:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/142005.995:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/142011.005:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/142016.015:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/142021.025:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/142026.036:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/142031.047:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/142036.051:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/142041.054:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
